HGNC approved symbol;HGNC approved name;UniProt ID (human);Pfam domains;UniProt AC (mouse);UniProt ID (mouse);Function;Modification;Protein complex;Target molecule;Target entity;Product
KDM4C;lysine (K)-specific demethylase 4C;KDM4C_HUMAN;JmjC PF02373 177-293, JmjN PF02375 17-51, PHD_2 PF13831 712-747, Pfam-B_10616 PB010616 1021-1054, Pfam-B_14467 PB014467 422-670, Pfam-B_5109 PB005109 891-1019, zf-HC5HC2H_2 PF13832 753-864;Q8VCD7;KDM4C_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K9me3, H3K36me3;H3K9me1, H3K9me2
RNF8;ring finger protein 8, E3 ubiquitin protein ligase;RNF8_HUMAN;FHA PF00498 38-109, zf-RING_2 PF13639 401-441;Q8VC56;RNF8_MOUSE;Histone modification write;Histone ubiquitination;#;histone;H2AK63, H2AXK63, H2AK48, H2AXK48;H2AK63ub, H2AXK63ub, H2AK48ub, H2AXK48ub
EXOSC2;exosome component 2;EXOS2_HUMAN;ECR1_N PF14382 26-64;Q8VBV3;EXOS2_MOUSE;Scaffold protein, RNA modification;RNA degradation;RNA exosome;RNA;#;#
BANP;BTG3 associated nuclear protein;BANP_HUMAN;BEN PF10523 249-322;Q8VBU8;BANP_MOUSE;Histone modification write;Histone acetylation;#;histone;H3K9, H4K8;#
USP15;ubiquitin specific peptidase 15;UBP15_HUMAN;DUSP PF06337 27-119, UCH PF00443 288-930, USP7_C2 PF14533 459-614, Ubiquitin_3 PF14836 135-222;Q8R5H1;UBP15_MOUSE;Histone modification erase;Histone ubiquitination;#;histone;H2BK120ub;H2BK120
ZMYND11;zinc finger, MYND-type containing 11;ZMY11_HUMAN;Bromodomain PF00439 122-203, PWWP PF00855 238-313, Pfam-B_7883 PB007883 342-530, Pfam-B_8532 PB008532 532-560;Q8R5C8;ZMY11_MOUSE;Histone modification read;Histone methylation;#;histone;H3.3K36me3;#
SMYD2;SET and MYND domain containing 2;SMYD2_HUMAN;SET PF00856 18-241, zf-MYND PF01753 52-90;Q8R5A0;SMYD2_MOUSE;Histone modification write;Histone methylation;#;histone;H3K4, H3K36;H3K4me, H3K36me2
ATXN7;ataxin 7;ATX7_HUMAN;Pfam-B_15485 PB015485 781-879, Pfam-B_23658 PB023658 129-174, Pfam-B_6735 PB006735 491-579, SCA7 PF08313 318-397;Q8R4I1;ATX7_MOUSE;Histone modification write cofactor;Histone acetylation;SAGA;histone;#;#
ANKRD32;ankyrin repeat domain 32;ANR32_HUMAN;Ank_2 PF12796 783-871 845-931, Pfam-B_101142 PB101142 932-1056, Pfam-B_12624 PB012624 231-430, Pfam-B_18156 PB018156 1-229, Pfam-B_81366 PB081366 641-782;Q8R3P9;ANR32_MOUSE;Histone modification read;#;#;histone;H2AXS139;#
BRD8;bromodomain containing 8;BRD8_HUMAN;Bromodomain PF00439 713-799 1112-1195, Pfam-B_19676 PB019676 1-69, Pfam-B_55933 PB055933 71-109;Q8R3B7;BRD8_MOUSE;Histone modification read;#;SWR, NuA4, NuA4-related complex;histone;#;#
ZNHIT1;zinc finger, HIT-type containing 1;ZNHI1_HUMAN;zf-HIT PF04438 113-142;Q8R331;ZNHI1_MOUSE;Chromatin remodeling cofactor, Histone modification erase cofactor;Histone acetylation;SRCAP;histone;#;#
ACTR8;ARP8 actin-related protein 8 homolog (yeast);ARP8_HUMAN;Actin PF00022 43-621;Q8R2S9;ARP8_MOUSE;Histone modification read;#;Ino80;histone;#;#
DNTTIP2;deoxynucleotidyltransferase, terminal, interacting protein 2;TDIF2_HUMAN;Fcf2 PF08698 635-731;Q8R2M2;TDIF2_MOUSE;Chromatin remodeling;#;#;histone;H2A, H2B;#
TAF6L;TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa;TAF6L_HUMAN;DUF1546 PF07571 242-333, Pfam-B_32143 PB032143 200-239, Pfam-B_32396 PB032396 161-199, TAF PF02969 9-73;Q8R2K4;TAF6L_MOUSE;Histone chaperone;#;PCAF, TFTC-HAT, STAGA;histone;#;#
TADA3;transcriptional adaptor 3;TADA3_HUMAN;Ada3 PF10198 308-432;Q8R0L9;TADA3_MOUSE;Histone modification write cofactor;Histone acetylation;PCAF, TFTC-HAT, ATAC, STAGA;histone;#;#
FBRS;fibrosin;FBRS_HUMAN;Auts2 PF15336 82-282, Pfam-B_58582 PB058582 283-359;Q8R089;FBRS_MOUSE;Histone modification;#;RING2-FBRS;histone;#;#
PCGF1;polycomb group ring finger 1;PCGF1_HUMAN;zf-C3HC4 PF00097 47-85;Q8R023;PCGF1_MOUSE;Polycomb group (PcG) protein;#;PRC1, BCOR;#;#;#
DPPA3;developmental pluripotency associated 3;DPPA3_HUMAN;PGC7_Stella PF15549 1-155;Q8QZY3;DPPA3_MOUSE;Histone modification read;#;#;histone;H3K9me2;#
MTA1;metastasis associated 1;MTA1_HUMAN;BAH PF01426 4-164, ELM2 PF01448 167-221, GATA PF00320 393-430;Q8K4B0;MTA1_MOUSE;Chromatin remodeling cofactor;#;NuRD;chromatin;#;#
BRE;brain and reproductive organ-expressed (TNFRSF1A modulator);BRE_HUMAN;BRE PF06113 1-333;Q8K3W0;BRE_MOUSE;Histone modification write cofactor;Histone ubiquitination;BRISC, BRCC, BRCA1-A;histone;#;#
NSL1;NSL1, MIS12 kinetochore complex component;NSL1_HUMAN;Mis14 PF08641 67-211;Q8K305;NSL1_MOUSE;Histone modification write cofactor;Histone acetylation;#;histone;H4K16;H4K16ac
PHF13;PHD finger protein 13;PHF13_HUMAN;PHD PF00628 234-280, Pfam-B_28476 PB028476 1-49;Q8K2W6;PHF13_MOUSE;Histone modification read;#;#;histone;H3K4me3;#
PAF1;Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae);PAF1_HUMAN;Paf1 PF03985 27-446;Q8K2T8;PAF1_MOUSE;Histone modification write cofactor;Histone ubiquitination;#;histone;H2, H3;#
BRD3;bromodomain containing 3;BRD3_HUMAN;Bromodomain PF00439 42-128 315-403;Q8K2F0;BRD3_MOUSE;Histone modification read;#;#;histone;H3K9me2, H3K14me2, H4K5ac, H4K12ac;#
NAT10;N-acetyltransferase 10 (GCN5-related);NAT10_HUMAN;DUF1726 PF08351 107-201, GNAT_acetyltr_2 PF13718 528-753, Helicase_RecD PF05127 281-488, tRNA_bind_2 PF13725 771-892;Q8K224;NAT10_MOUSE;Histone modification write;Histone acetylation;#;histone;#;#
SCMH1;sex comb on midleg homolog 1 (Drosophila);SCMH1_HUMAN;DUF3588 PF12140 355-469, MBT PF02820 62-134 171-239, SAM_1 PF00536 591-656;Q8K214;SCMH1_MOUSE;Polycomb group (PcG) protein;#;PRC1;#;#;#
NEK9;NIMA-related kinase 9;NEK9_HUMAN;Pfam-B_22064 PB022064 309-349, Pkinase PF00069 52-308, RCC1 PF00415 390-441 444-495 499-547 615-665;Q8K1R7;NEK9_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H1;H1ph
HINFP;histone H4 transcription factor;HINFP_HUMAN;Pfam-B_17110 PB017110 1-103, zf-C2H2 PF00096 255-278 345-368, zf-C2H2_4 PF13894 229-254, zf-H2C2_2 PF13465 185-210;Q8K1K9;HINFP_MOUSE;Histone modification read, TF;TF activator, TF repressor;#;histone, DNA;H4, DNA motif;#
TDRD7;tudor domain containing 7;TDRD7_HUMAN;OST-HTH PF12872 5-73, Pfam-B_27056 PB027056 101-149, TUDOR PF00567 459-581 648-775 908-1026;Q8K1H1;TDRD7_MOUSE;Histone modification read;#;#;histone;H3K9;#
TAF10;TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa;TAF10_HUMAN;TFIID_30kDa PF03540 128-178;Q8K0H5;TAF10_MOUSE;Histone chaperone, Histone modification write;Histone acetylation;PCAF, TFTC-HAT, SAGA, STAGA;histone;H3, H4;#
CDK17;cyclin-dependent kinase 17;CDK17_HUMAN;Pkinase PF00069 192-473;Q8K0D0;CDK17_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H1;#
CDC73;cell division cycle 73;CDC73_HUMAN;CDC73 PF05179 233-525;Q8JZM7;CDC73_MOUSE;Histone modification write cofactor;Histone methylation;#;histone;#;#
PAK2;p21 protein (Cdc42/Rac)-activated kinase 2;PAK2_HUMAN;PBD PF00786 73-131, Pkinase PF00069 249-500;Q8CIN4;PAK2_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H4S47;H4S47ph
PRMT5;protein arginine methyltransferase 5;ANM5_HUMAN;PRMT5 PF05185 181-619, Pfam-B_18578 PB018578 1-49;Q8CIG8;ANM5_MOUSE;Histone modification write;Histone methylation;methylosome;histone;H3R8, H4R3;H3R8me, H4R3me
KDM1B;lysine (K)-specific demethylase 1B;KDM1B_HUMAN;Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192;Q8CIG3;KDM1B_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K4me1, H3K4me2;H3K4
CSRP2BP;CSRP2 binding protein;CSR2B_HUMAN;Acetyltransf_1 PF00583 678-752, Pfam-B_6449 PB006449 351-435, Pfam-B_8520 PB008520 1-129;Q8CID0;CSR2B_MOUSE;Histone modification write;Histone acetylation;ATAC;histone;H4;#
GATAD2A;GATA zinc finger domain containing 2A;P66A_HUMAN;Pfam-B_2058 PB002058 1-79;Q8CHY6;P66A_MOUSE;Histone modification read;#;NuRD;histone;H2A, H2B, H3, H4;#
TADA2A;transcriptional adaptor 2A;TAD2A_HUMAN;Myb_DNA-binding PF00249 72-118, SWIRM PF04433 362-442;Q8CHV6;TAD2A_MOUSE;Histone modification read, TF;TF activator;PCAF, ATAC;histone;H3;#
PHC3;polyhomeotic homolog 3 (Drosophila);PHC3_HUMAN;Pfam-B_12208 PB012208 689-724, Pfam-B_17091 PB017091 431-487, Pfam-B_19383 PB019383 780-822, Pfam-B_19396 PB019396 1-39, SAM_1 PF00536 917-981;Q8CHP6;PHC3_MOUSE;Polycomb group (PcG) protein;#;PRC1;#;#;#
KAT5;K(lysine) acetyltransferase 5;KAT5_HUMAN;MOZ_SAS PF01853 285-477, Tudor-knot PF11717 7-65;Q8CHK4;KAT5_MOUSE;Histone modification write;Histone acetylation;SWR, NuA4, Piccolo_NuA4;histone;H2AK5, H3K14, H4K5,H4K8, H4K12, H4K16;H2AK5ac, H3K14ac, H4K5ac, H4K8ac, H4K12ac, H4K16ac
EP400;E1A binding protein p400;EP400_HUMAN;HSA PF07529 800-871, Helicase_C PF00271 1932-2014, Pfam-B_18422 PB018422 1887-1923, SNF2_N PF00176 1094-1374;Q8CHI8;EP400_MOUSE;Chromatin remodeling, Histone modification write;Histone acetylation;SWR, NuA4, NuA4-related complex;histone;#;#
OGT;O-linked N-acetylglucosamine (GlcNAc) transferase;OGT1_HUMAN;Glyco_transf_41 PF13844 556-1024, TPR_1 PF00515 89-122 191-224 225-258 259-292 293-326 327-360 361-394 395-428 429-462, TPR_11 PF13414 87-154, TPR_8 PF13181 160-190;Q8CGY8;OGT1_MOUSE;Histone modification write;Histone GlcNAcylation;NSL;histone;H2BS112;H2BS112GlcNa
PIWIL4;piwi-like RNA-mediated gene silencing 4;PIWL4_HUMAN;PAZ PF02170 271-407, Pfam-B_2782 PB002782 101-219, Pfam-B_34294 PB034294 1-99, Piwi PF02171 546-838;Q8CGT6;PIWL4_MOUSE;Chromatin remodeling, Histone modification erase cofactor;Histone methylation;#;histone;H3K9;#
BCOR;BCL6 corepressor;BCOR_HUMAN;Ank_2 PF12796 1460-1560, Pfam-B_11277 PB011277 41-289, Pfam-B_26758 PB026758 300-329, Pfam-B_27995 PB027995 1241-1359, Pfam-B_30654 PB030654 1361-1419, Pfam-B_5207 PB005207 421-1239;Q8CGN4;BCOR_MOUSE;Polycomb group (PcG) protein;#;BCOR;#;#;#
SETD1B;SET domain containing 1B;SET1B_HUMAN;N-SET PF11764 1629-1774, Pfam-B_1367 PB001367 1017-1148, Pfam-B_14013 PB014013 887-1015, RRM_1 PF00076 108-175, SET PF00856 1795-1901;Q8CFT2;SET1B_MOUSE;Histone modification write;Histone methylation;COMPASS;histone;H3K4;H3K4me
RCOR1;REST corepressor 1;RCOR1_HUMAN;ELM2 PF01448 102-157, Myb_DNA-binding PF00249 381-425;Q8CFE3;RCOR1_MOUSE;Histone modification erase cofactor, Histone modification erase cofactor;Histone acetylation, Histone methylation;BHC, SCL, LSD-CoREST;histone;#;#
ATAD2;ATPase family, AAA domain containing 2;ATAD2_HUMAN;AAA PF00004 463-598, Bromodomain PF00439 993-1075, Pfam-B_11064 PB011064 870-958, Pfam-B_23116 PB023116 1-56, Pfam-B_40477 PB040477 57-79;Q8CDM1;ATAD2_MOUSE;Chromatin remodeling;#;#;chromatin;#;#
MINA;MYC induced nuclear antigen;MINA_HUMAN;Cupin_4 PF08007 51-364;Q8CD15;MINA_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K9me3;H3K9
PHF20L1;PHD finger protein 20-like 1;P20L1_HUMAN;DUF3776 PF12618 210-317 415-518, PHD PF00628 683-729, Pfam-B_37699 PB037699 791-849;Q8CCJ9;P20L1_MOUSE;Histone modification read;#;#;histone;H3K4me;#
RYBP;RING1 and YY1 binding protein;RYBP_HUMAN;Pfam-B_18067 PB018067 49-226, zf-RanBP PF00641 22-48;Q8CCI5;RYBP_MOUSE;Polycomb group (PcG) protein;#;BCOR, RING2-L3MBTL2, RING2-FBRS;#;#;#
PRPF31;pre-mRNA processing factor 31;PRP31_HUMAN;NOSIC PF08060 92-144, Nop PF01798 186-334, Pfam-B_23523 PB023523 1-44, Prp31_C PF09785 336-465;Q8CCF0;PRP31_MOUSE;Histone modification write cofactor, Histone modification write cofactor;Histone methylation, Histone acetylation;CHD8, MLL2/3, MLL4/WBP7;histone;#;#
EPC1;enhancer of polycomb homolog 1 (Drosophila);EPC1_HUMAN;EPL1 PF10513 6-149, E_Pc_C PF06752 582-836;Q8C9X6;EPC1_MOUSE;Polycomb group (PcG) protein;#;NuA4, Piccolo_NuA4, NuA4-related complex;histone;#;#
ZFP57;ZFP57 zinc finger protein;ZFP57_HUMAN;KRAB PF01352 16-56, zf-C2H2 PF00096 91-113 175-197, zf-C2H2_4 PF13894 300-323 329-351 356-377, zf-H2C2_2 PF13465 133-156;Q8C6P8;ZFP57_MOUSE;TF;TF repressor;#;DNA;mC, DNA motif;#
ASXL3;additional sex combs like transcriptional regulator 3;ASXL3_HUMAN;ASXH PF13919 229-361, HARE-HTH PF05066 10-81, PHD_3 PF13922 2183-2246, Pfam-B_17129 PB017129 941-1279, Pfam-B_20113 PB020113 751-939, Pfam-B_27498 PB027498 1341-1411, Pfam-B_34336 PB034336 1281-1339, Pfam-B_6874 PB006874 601-669;Q8C4A5;ASXL3_MOUSE;Scaffold protein, Polycomb group (PcG) protein;#;#;histone;#;#
USP44;ubiquitin specific peptidase 44;UBP44_HUMAN;UCH PF00443 272-675, zf-UBP PF02148 29-91;Q8C2S0;UBP44_MOUSE;Histone modification erase;Histone ubiquitination;#;histone;H2Bub1;H2B
HDAC7;histone deacetylase 7;HDAC7_HUMAN;Hist_deacetyl PF00850 530-860, Pfam-B_5922 PB005922 1-148;Q8C2B3;HDAC7_MOUSE;Histone modification erase;Histone acetylation;#;histone;H2AKac, H2BKac, H3Kac, H4Kac;H2AK, H2BK, H3K, H4K
SETDB2;SET domain, bifurcated 2;SETB2_HUMAN;MBD PF01429 160-232, Pre-SET PF05033 245-359, SET PF00856 378-694;Q8C267;SETB2_MOUSE;Histone modification write;Histone methylation;#;histone;H3K9;H3K9me3
TAF2;TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa;TAF2_HUMAN;Peptidase_M1 PF01433 21-406, Pfam-B_2101 PB002101 661-979, Pfam-B_21717 PB021717 1111-1159, Pfam-B_6210 PB006210 1161-1197, Pfam-B_8840 PB008840 981-1109;Q8C176;TAF2_MOUSE;TF;#;TFTC-HAT;DNA;DNA motif;#
TLK1;tousled-like kinase 1;TLK1_HUMAN;Pfam-B_2740 PB002740 1-109, Pfam-B_9699 PB009699 111-179, Pkinase PF00069 456-734;Q8C0V0;TLK1_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H3S10;H3S10ph
MASTL;microtubule associated serine/threonine kinase-like;GWL_HUMAN;Pfam-B_24677 PB024677 271-369, Pfam-B_8409 PB008409 371-489, Pkinase PF00069 35-203 733-835;Q8C0P0;GWL_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H1, H3;H1p, H3p
EPC2;enhancer of polycomb homolog 2 (Drosophila);EPC2_HUMAN;EPL1 PF10513 6-149, E_Pc_C PF06752 577-807, Pfam-B_18248 PB018248 432-544, Pfam-B_19406 PB019406 370-415;Q8C0I4;EPC2_MOUSE;Chromatin remodeling;#;#;chromatin;#;#
ING4;inhibitor of growth family, member 4;ING4_HUMAN;ING PF12998 5-107, PHD PF00628 198-245;Q8C0D7;ING4_MOUSE;Histone modification read;#;HBO1;histone;H3K4me3;#
TAF5;TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa;TAF5_HUMAN;Pfam-B_22190 PB022190 61-159, Pfam-B_34937 PB034937 1-59, TFIID_90kDa PF04494 199-338, WD40 PF00400 461-498 533-571 575-613 617-655 659-697 701-739;Q8C092;TAF5_MOUSE;Histone modification write cofactor;Histone acetylation;TFTC-HAT;histone;#;#
RPS6KA5;ribosomal protein S6 kinase, 90kDa, polypeptide 5;KS6A5_HUMAN;Pkinase PF00069 49-318 427-687, Pkinase_C PF00433 338-381;Q8C050;KS6A5_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H2AS1, H3S10, H3S28;H2AS1ph, H3S10ph, H3S28ph
POGZ;pogo transposable element with ZNF domain;POGZ_HUMAN;DDE_1 PF03184 1117-1304, HTH_Tnp_Tc5 PF03221 1024-1085, Pfam-B_10413 PB010413 693-771, Pfam-B_10981 PB010981 1-69, Pfam-B_5179 PB005179 796-843, Pfam-B_6754 PB006754 773-795;Q8BZH4;POGZ_MOUSE;Histone modification read;Histone methylation;#;histone;H3K9me3;#
PRDM8;PR domain containing 8;PRDM8_HUMAN;zf-C2H2 PF00096 627-648 666-688;Q8BZ97;PRDM8_MOUSE;Histone modification write;Histone methylation;#;histone;#;#
ASXL2;additional sex combs like transcriptional regulator 2;ASXL2_HUMAN;ASXH PF13919 249-381, HARE-HTH PF05066 11-83, PHD_3 PF13922 1370-1433, Pfam-B_4087 PB004087 944-1090;Q8BZ32;ASXL2_MOUSE;Histone modification read;#;#;histone;H3K4, H3K9;#
KAT6A;K(lysine) acetyltransferase 6A;KAT6A_HUMAN;MOZ_SAS PF01853 562-749, PHD PF00628 208-265 264-313, Pfam-B_19382 PB019382 1-84, Pfam-B_21350 PB021350 1011-1048, Pfam-B_25985 PB025985 1056-1116, Pfam-B_3468 PB003468 1648-1699, Pfam-B_6470 PB006470 1487-1601;Q8BZ21;KAT6A_MOUSE;Histone modification write;Histone acetylation;MOZ/MORF;histone;H3, H4;H3ac, H4ac
CHD9;chromodomain helicase DNA binding protein 9;CHD9_HUMAN;BRK PF07533 2480-2530 2554-2599, Chromo PF00385 690-752 773-827, Helicase_C PF00271 1216-1296, Pfam-B_10410 PB010410 1-89, Pfam-B_1107 PB001107 2701-2729, Pfam-B_15117 PB015117 371-579, Pfam-B_24836 PB024836 1774-1901, Pfam-B_6192 PB006192 1530-1675, Pfam-B_7386 PB007386 231-369, Pfam-B_8182 PB008182 1460-1528, Pfam-B_8545 PB008545 91-229, SNF2_N PF00176 863-1150;Q8BYH8;CHD9_MOUSE;Chromatin remodeling;#;#;DNA;#;#
HAT1;histone acetyltransferase 1;HAT1_HUMAN;Hat1_N PF10394 26-187;Q8BY71;HAT1_MOUSE;Histone modification write;Histone acetylation;#;histone;H4, H2A;#
RBBP5;retinoblastoma binding protein 5;RBBP5_HUMAN;Pfam-B_3428 PB003428 121-325, WD40 PF00400 23-52 58-94;Q8BX09;RBBP5_MOUSE;Histone modification write cofactor;Histone methylation;COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4;histone;H3K4;H3K4me1, H3K4me2, H3K4me3
ARRB1;arrestin, beta 1;ARRB1_HUMAN;Arrestin_C PF02752 193-356, Arrestin_N PF00339 18-174;Q8BWG8;ARRB1_MOUSE;Histone modification;#;#;histone;#;#
KDM4A;lysine (K)-specific demethylase 4A;KDM4A_HUMAN;JmjC PF02373 175-291, JmjN PF02375 15-49, PHD_2 PF13831 732-767, zf-HC5HC2H_2 PF13832 773-884;Q8BW72;KDM4A_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K4me3, H3K36me3;H3K4me2, H3K36me2
SS18L1;synovial sarcoma translocation gene on chromosome 18-like 1;CREST_HUMAN;Pfam-B_16193 PB016193 365-394, Pfam-B_22298 PB022298 315-363, SSXT PF05030 11-76;Q8BW22;CREST_MOUSE;Chromatin remodeling;#;CREST-BRG1;chromatin;#;#
WHSC1;Wolf-Hirschhorn syndrome candidate 1;NSD2_HUMAN;HMG_box PF00505 455-508, PHD PF00628 833-875, PWWP PF00855 220-332 878-968, SET PF00856 1074-1180;Q8BVE8;NSD2_MOUSE;Histone modification write;Histone methylation;#;histone;H3K27;H3K27me
LRWD1;leucine-rich repeats and WD repeat domain containing 1;LRWD1_HUMAN;LRR_1 PF00560 48-69, Pfam-B_28625 PB028625 274-344, Pfam-B_39252 PB039252 191-239, WD40 PF00400 382-421;Q8BUI3;LRWD1_MOUSE;Chromatin remodeling;#;#;histone, DNA;H3K9me3, H3K27me3;#
UBR7;ubiquitin protein ligase E3 component n-recognin 7 (putative);UBR7_HUMAN;Pfam-B_38998 PB038998 361-423, zf-UBR PF02207 44-115;Q8BU04;UBR7_MOUSE;DNA modification cofactor;DNA methylation;#;DNA;#;#
EXOSC6;exosome component 6;EXOS6_HUMAN;RNase_PH PF01138 35-175;Q8BTW3;EXOS6_MOUSE;Scaffold protein, RNA modification;RNA degradation;RNA exosome;RNA;#;#
PCGF3;polycomb group ring finger 3;PCGF3_HUMAN;zf-C3HC4 PF00097 17-55;Q8BTQ0;PCGF3_MOUSE;Polycomb group (PcG) protein;#;PRC1, RING2-FBRS;#;#;#
SMYD4;SET and MYND domain containing 4;SMYD4_HUMAN;Pfam-B_24699 PB024699 740-795, Pfam-B_50317 PB050317 1-65, SET PF00856 244-574, TPR_11 PF13414 66-135, zf-MYND PF01753 296-335;Q8BTK5;SMYD4_MOUSE;Histone modification erase cofactor;Histone acetylation;#;#;#;#
PBRM1;polybromo 1;PB1_HUMAN;BAH PF01426 956-1074 1156-1272, Bromodomain PF00439 54-139 186-275 392-475 532-613 666-750 785-867, HMG_box PF00505 1379-1446;Q8BSQ9;PB1_MOUSE;Histone modification read;#;PBAF, SWI/SNF BRM-BRG1;histone;H3;#
PRKAA2;protein kinase, AMP-activated, alpha 2 catalytic subunit;AAPK2_HUMAN;Pkinase PF00069 16-268;Q8BRK8;AAPK2_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H2BS36;H2BS36ph
KMT2C;lysine (K)-specific methyltransferase 2C;KMT2C_HUMAN;FYRC PF05965 4606-4693, FYRN PF05964 4550-4604, PHD PF00628 390-438 959-1010 1009-1060, Pfam-B_16694 PB016694 2536-2572, Pfam-B_19991 PB019991 1874-1906, Pfam-B_43 PB000043 3044-3095, Pfam-B_49476 PB049476 1-159, SET PF00856 4782-4887, zf-HC5HC2H PF13771 252-331 4429-4507;Q8BRH4;KMT2C_MOUSE;Histone modification write;Histone methylation;MLL2/3, COMPASS-like MLL3,4;histone;H3K4;H3K4me
KAT6B;K(lysine) acetyltransferase 6B;KAT6B_HUMAN;Linker_histone PF00538 106-175, MOZ_SAS PF01853 773-960, PHD PF00628 271-320, Pfam-B_6470 PB006470 1604-1717;Q8BRB7;KAT6B_MOUSE;Histone modification write;Histone acetylation;MOZ/MORF;histone;H3;H3ac
SUDS3;suppressor of defective silencing 3 homolog (S. cerevisiae);SDS3_HUMAN;Sds3 PF08598 53-223;Q8BR65;SDS3_MOUSE;Histone modification erase cofactor;Histone acetylation;mSin3A;histone;#;#
KANSL2;KAT8 regulatory NSL complex subunit 2;KANL2_HUMAN;Pfam-B_21577 PB021577 1-25, zf-C3Hc3H PF13891 27-93 300-365;Q8BQR4;KANL2_MOUSE;Histone modification write cofactor;Histone acetylation;NSL;histone;H5;H4ac
FAM175A;family with sequence similarity 175, member A;F175A_HUMAN;Pfam-B_8506 PB008506 1-175;Q8BPZ8;F175A_MOUSE;Scaffold protein;#;BRCA1-A;TF;#;#
ZBTB33;zinc finger and BTB domain containing 33;KAISO_HUMAN;BTB PF00651 22-118, zf-H2C2_2 PF13465 508-532 537-561;Q8BN78;KAISO_MOUSE;Histone modification write cofactor, Histone modification erase cofactor, TF;Histone acetylation, Histone methylation, TF repressor;#;DNA;CG, mCG, DNA motif;#
GTF3C4;general transcription factor IIIC, polypeptide 4, 90kDa;TF3C4_HUMAN;TFIIIC_delta PF12657 61-254, zf-TFIIIC PF12660 733-822;Q8BMQ2;TF3C4_MOUSE;Histone modification write;Histone acetylation;#;histone;H3;#
C11orf30;chromosome 11 open reading frame 30;EMSY_HUMAN;ENT PF03735 16-88, Pfam-B_10468 PB010468 695-833, Pfam-B_10943 PB010943 985-1113;Q8BMB0;EMSY_MOUSE;Histone modification write cofactor;Histone methylation;#;histone;#;#
HIF1AN;hypoxia inducible factor 1, alpha subunit inhibitor;HIF1N_HUMAN;Cupin_8 PF13621 48-302;Q8BLR9;HIF1N_MOUSE;Histone modification erase cofactor;Histone acetylation;#;histone;#;#
HIRIP3;HIRA interacting protein 3;HIRP3_HUMAN;CHZ PF09649 484-520;Q8BLH7;HIRP3_MOUSE;Histone modification read;#;#;histone;H2A, H3;#
PHF20;PHD finger protein 20;PHF20_HUMAN;DUF3776 PF12618 173-279, PHD PF00628 654-700, Pfam-B_21846 PB021846 511-589, Pfam-B_23453 PB023453 280-309;Q8BLG0;PHF20_MOUSE;Histone modification write;Histone acetylation;NSL, CHD8, MLL2/3, MLL4/WBP7;histone;H4;H4ac
L3MBTL3;l(3)mbt-like 3 (Drosophila);LMBL3_HUMAN;MBT PF02820 268-340 375-447 479-548, Pfam-B_29190 PB029190 1-79, SAM_1 PF00536 706-770;Q8BLB7;LMBL3_MOUSE;Histone modification read;#;#;histone;H4K20me;#
SIRT7;sirtuin 7;SIR7_HUMAN;SIR2 PF02146 133-275;Q8BKJ9;SIR7_MOUSE;Histone modification erase;Histone acetylation;B-WICH;histone;H3K18ac;H3K18
ELP6;elongator acetyltransferase complex subunit 6;ELP6_HUMAN;DUF2348 PF09807 1-251;Q8BK75;ELP6_MOUSE;Histone modification write cofactor;Histone acetylation;Pol2 elongator;histone;#;#
SMARCAL1;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1;SMAL1_HUMAN;HARP PF07443 248-302 343-397, Helicase_C PF00271 743-822, Pfam-B_7889 PB007889 1-159, SNF2_N PF00176 434-716;Q8BJL0;SMAL1_MOUSE;Chromatin remodeling;#;#;chromatin;#;#
SAP130;Sin3A-associated protein, 130kDa;SP130_HUMAN;Pfam-B_10398 PB010398 431-719, Pfam-B_13351 PB013351 101-249, Pfam-B_17122 PB017122 781-837, Pfam-B_18714 PB018714 721-779, Pfam-B_237 PB000237 949-984;Q8BIH0;SP130_MOUSE;Histone modification erase cofactor;Histone acetylation;#;histone;#;#
ZNF592;zinc finger protein 592;ZN592_HUMAN;Pfam-B_21220 PB021220 499-547, Pfam-B_27046 PB027046 771-913, Pfam-B_379 PB000379 1-97, zf-C2H2 PF00096 1013-1036 1043-1069;Q8BHZ4;ZN592_MOUSE;Histone modification erase cofactor;Histone acetylation;#;histone;#;#
